bt_id,day_type,dt
7,Weekday,10/06/2017
7,Weekend,10/07/2017
7,Weekend,10/08/2017
7,Weekday,10/10/2017
7,Weekday,10/11/2017
7,Weekday,10/12/2017
7,Weekday,10/13/2017
7,Weekend,10/14/2017
7,Weekday,10/30/2017
7,Weekday,10/31/2017
7,Weekday,11/01/2017
7,Weekday,11/02/2017
7,Weekday,11/03/2017
7,Weekend,11/04/2017
7,Weekend,11/05/2017
7,Weekday,11/06/2017
7,Weekday,11/07/2017
7,Weekday,11/08/2017
8,Weekday,10/06/2017
8,Weekend,10/07/2017
8,Weekend,10/08/2017
8,Weekday,10/10/2017
8,Weekday,10/11/2017
8,Weekday,10/12/2017
8,Weekday,10/13/2017
8,Weekend,10/14/2017
8,Weekday,10/30/2017
8,Weekday,10/31/2017
8,Weekday,11/01/2017
8,Weekday,11/02/2017
8,Weekday,11/03/2017
8,Weekend,11/04/2017
8,Weekend,11/05/2017
8,Weekday,11/06/2017
8,Weekday,11/07/2017
8,Weekday,11/08/2017
9,Weekday,10/06/2017
9,Weekend,10/07/2017
9,Weekend,10/08/2017
9,Weekday,10/10/2017
9,Weekday,10/11/2017
9,Weekday,10/12/2017
9,Weekday,10/13/2017
9,Weekend,10/14/2017
9,Weekday,10/30/2017
9,Weekday,10/31/2017
9,Weekday,11/01/2017
9,Weekday,11/02/2017
9,Weekday,11/03/2017
9,Weekend,11/04/2017
9,Weekend,11/05/2017
9,Weekday,11/06/2017
9,Weekday,11/07/2017
9,Weekday,11/08/2017
10,Weekday,10/06/2017
10,Weekend,10/07/2017
10,Weekend,10/08/2017
10,Weekday,10/10/2017
10,Weekday,10/11/2017
10,Weekday,10/12/2017
10,Weekday,10/13/2017
10,Weekend,10/14/2017
10,Weekday,10/30/2017
10,Weekday,10/31/2017
10,Weekday,11/01/2017
10,Weekday,11/02/2017
10,Weekday,11/03/2017
10,Weekend,11/04/2017
10,Weekend,11/05/2017
10,Weekday,11/06/2017
10,Weekday,11/07/2017
10,Weekday,11/08/2017
13,Weekday,10/06/2017
13,Weekend,10/07/2017
13,Weekend,10/08/2017
13,Weekday,10/10/2017
13,Weekday,10/11/2017
13,Weekday,10/12/2017
13,Weekday,10/13/2017
13,Weekend,10/14/2017
13,Weekday,10/30/2017
13,Weekday,10/31/2017
13,Weekday,11/01/2017
13,Weekday,11/02/2017
13,Weekday,11/03/2017
13,Weekend,11/04/2017
13,Weekend,11/05/2017
13,Weekday,11/06/2017
13,Weekday,11/07/2017
13,Weekday,11/08/2017
14,Weekday,10/06/2017
14,Weekend,10/07/2017
14,Weekend,10/08/2017
14,Weekday,10/10/2017
14,Weekday,10/11/2017
14,Weekday,10/12/2017
14,Weekday,10/13/2017
14,Weekend,10/14/2017
14,Weekday,10/30/2017
14,Weekday,10/31/2017
14,Weekday,11/01/2017
14,Weekday,11/02/2017
14,Weekday,11/03/2017
14,Weekend,11/04/2017
14,Weekend,11/05/2017
14,Weekday,11/06/2017
14,Weekday,11/07/2017
14,Weekday,11/08/2017
15,Weekday,10/06/2017
15,Weekend,10/07/2017
15,Weekend,10/08/2017
15,Weekday,10/10/2017
15,Weekday,10/11/2017
15,Weekday,10/12/2017
15,Weekday,10/13/2017
15,Weekend,10/14/2017
15,Weekday,10/30/2017
15,Weekday,10/31/2017
15,Weekday,11/01/2017
15,Weekday,11/02/2017
15,Weekday,11/03/2017
15,Weekend,11/04/2017
15,Weekend,11/05/2017
15,Weekday,11/06/2017
15,Weekday,11/07/2017
15,Weekday,11/08/2017
16,Weekday,10/06/2017
16,Weekend,10/07/2017
16,Weekend,10/08/2017
16,Weekday,10/10/2017
16,Weekday,10/11/2017
16,Weekday,10/12/2017
16,Weekday,10/13/2017
16,Weekend,10/14/2017
16,Weekday,10/30/2017
16,Weekday,10/31/2017
16,Weekday,11/01/2017
16,Weekday,11/02/2017
16,Weekday,11/03/2017
16,Weekend,11/04/2017
16,Weekend,11/05/2017
16,Weekday,11/06/2017
16,Weekday,11/07/2017
16,Weekday,11/08/2017
22,Weekday,10/13/2017
22,Weekend,10/14/2017
22,Weekday,10/30/2017
22,Weekday,10/31/2017
22,Weekday,11/01/2017
22,Weekday,11/02/2017
22,Weekday,11/03/2017
22,Weekend,11/04/2017
22,Weekend,11/05/2017
22,Weekday,11/06/2017
22,Weekday,11/07/2017
22,Weekday,11/08/2017
23,Weekday,10/13/2017
23,Weekend,10/14/2017
23,Weekday,10/30/2017
23,Weekday,10/31/2017
23,Weekday,11/01/2017
23,Weekday,11/02/2017
23,Weekday,11/03/2017
23,Weekend,11/04/2017
23,Weekend,11/05/2017
23,Weekday,11/06/2017
23,Weekday,11/07/2017
23,Weekday,11/08/2017
24,Weekday,10/13/2017
24,Weekend,10/14/2017
24,Weekday,10/30/2017
24,Weekday,10/31/2017
24,Weekday,11/01/2017
24,Weekday,11/02/2017
24,Weekday,11/03/2017
24,Weekend,11/04/2017
24,Weekend,11/05/2017
24,Weekday,11/06/2017
24,Weekday,11/07/2017
24,Weekday,11/08/2017
25,Weekday,10/13/2017
25,Weekend,10/14/2017
25,Weekday,10/30/2017
25,Weekday,10/31/2017
25,Weekday,11/01/2017
25,Weekday,11/02/2017
25,Weekday,11/03/2017
25,Weekend,11/04/2017
25,Weekend,11/05/2017
25,Weekday,11/06/2017
25,Weekday,11/07/2017
25,Weekday,11/08/2017
30,Weekday,10/13/2017
30,Weekend,10/14/2017
30,Weekday,10/30/2017
30,Weekday,10/31/2017
30,Weekday,11/01/2017
30,Weekday,11/02/2017
30,Weekday,11/03/2017
30,Weekend,11/04/2017
30,Weekend,11/05/2017
30,Weekday,11/06/2017
30,Weekday,11/07/2017
30,Weekday,11/08/2017
31,Weekday,10/13/2017
31,Weekend,10/14/2017
31,Weekday,10/30/2017
31,Weekday,10/31/2017
31,Weekday,11/01/2017
31,Weekday,11/02/2017
31,Weekday,11/03/2017
31,Weekend,11/04/2017
31,Weekend,11/05/2017
31,Weekday,11/06/2017
31,Weekday,11/07/2017
31,Weekday,11/08/2017
32,Weekday,10/13/2017
32,Weekend,10/14/2017
32,Weekday,10/30/2017
32,Weekday,10/31/2017
32,Weekday,11/01/2017
32,Weekday,11/02/2017
32,Weekday,11/03/2017
32,Weekend,11/04/2017
32,Weekend,11/05/2017
32,Weekday,11/06/2017
32,Weekday,11/07/2017
32,Weekday,11/08/2017
33,Weekday,10/13/2017
33,Weekend,10/14/2017
33,Weekday,10/30/2017
33,Weekday,10/31/2017
33,Weekday,11/01/2017
33,Weekday,11/02/2017
33,Weekday,11/03/2017
33,Weekend,11/04/2017
33,Weekend,11/05/2017
33,Weekday,11/06/2017
33,Weekday,11/07/2017
33,Weekday,11/08/2017
39,Weekday,10/06/2017
39,Weekend,10/07/2017
39,Weekend,10/08/2017
39,Weekday,10/10/2017
39,Weekday,10/11/2017
39,Weekday,10/12/2017
39,Weekday,10/13/2017
39,Weekend,10/14/2017
39,Weekday,10/30/2017
39,Weekday,10/31/2017
39,Weekday,11/01/2017
39,Weekday,11/02/2017
39,Weekday,11/03/2017
39,Weekend,11/04/2017
39,Weekend,11/05/2017
39,Weekday,11/06/2017
39,Weekday,11/07/2017
39,Weekday,11/08/2017
40,Weekday,10/06/2017
40,Weekend,10/07/2017
40,Weekend,10/08/2017
40,Weekday,10/10/2017
40,Weekday,10/11/2017
40,Weekday,10/12/2017
40,Weekday,10/13/2017
40,Weekend,10/14/2017
40,Weekday,10/30/2017
40,Weekday,10/31/2017
40,Weekday,11/01/2017
40,Weekday,11/02/2017
40,Weekday,11/03/2017
40,Weekend,11/04/2017
40,Weekend,11/05/2017
