bt_id,day_type,dt
60,Weekday,09/22/2017
61,Weekday,09/22/2017
62,Weekday,09/22/2017
63,Weekday,09/22/2017
64,Weekday,09/22/2017
65,Weekday,09/22/2017
66,Weekday,09/22/2017
74,Weekday,09/22/2017
75,Weekday,09/22/2017
83,Weekday,09/22/2017
84,Weekday,09/22/2017
86,Weekday,09/22/2017
87,Weekday,09/22/2017
89,Weekday,09/22/2017
90,Weekday,09/22/2017
93,Weekday,09/22/2017
98,Weekday,09/22/2017
111,Weekday,09/22/2017
116,Weekday,09/22/2017
119,Weekday,09/22/2017
120,Weekday,09/22/2017
123,Weekday,09/22/2017
124,Weekday,09/22/2017
126,Weekday,09/22/2017
127,Weekday,09/22/2017
128,Weekday,09/22/2017
129,Weekday,09/22/2017
131,Weekday,09/22/2017
132,Weekday,09/22/2017
133,Weekday,09/22/2017
134,Weekday,09/22/2017
135,Weekday,09/22/2017
136,Weekday,09/22/2017
137,Weekday,09/22/2017
138,Weekday,09/22/2017
1,Weekend,09/23/2017
2,Weekend,09/23/2017
3,Weekend,09/23/2017
4,Weekend,09/23/2017
19,Weekend,09/23/2017
20,Weekend,09/23/2017
21,Weekend,09/23/2017
26,Weekend,09/23/2017
29,Weekend,09/23/2017
34,Weekend,09/23/2017
35,Weekend,09/23/2017
36,Weekend,09/23/2017
37,Weekend,09/23/2017
48,Weekend,09/23/2017
49,Weekend,09/23/2017
50,Weekend,09/23/2017
51,Weekend,09/23/2017
52,Weekend,09/23/2017
53,Weekend,09/23/2017
54,Weekend,09/23/2017
55,Weekend,09/23/2017
56,Weekend,09/23/2017
59,Weekend,09/23/2017
60,Weekend,09/23/2017
61,Weekend,09/23/2017
62,Weekend,09/23/2017
63,Weekend,09/23/2017
64,Weekend,09/23/2017
65,Weekend,09/23/2017
66,Weekend,09/23/2017
74,Weekend,09/23/2017
75,Weekend,09/23/2017
83,Weekend,09/23/2017
84,Weekend,09/23/2017
86,Weekend,09/23/2017
87,Weekend,09/23/2017
89,Weekend,09/23/2017
90,Weekend,09/23/2017
93,Weekend,09/23/2017
98,Weekend,09/23/2017
111,Weekend,09/23/2017
116,Weekend,09/23/2017
119,Weekend,09/23/2017
120,Weekend,09/23/2017
123,Weekend,09/23/2017
124,Weekend,09/23/2017
126,Weekend,09/23/2017
127,Weekend,09/23/2017
128,Weekend,09/23/2017
129,Weekend,09/23/2017
131,Weekend,09/23/2017
132,Weekend,09/23/2017
133,Weekend,09/23/2017
134,Weekend,09/23/2017
135,Weekend,09/23/2017
136,Weekend,09/23/2017
137,Weekend,09/23/2017
138,Weekend,09/23/2017
1,Weekend,09/24/2017
2,Weekend,09/24/2017
3,Weekend,09/24/2017
4,Weekend,09/24/2017
19,Weekend,09/24/2017
20,Weekend,09/24/2017
21,Weekend,09/24/2017
26,Weekend,09/24/2017
29,Weekend,09/24/2017
34,Weekend,09/24/2017
35,Weekend,09/24/2017
36,Weekend,09/24/2017
37,Weekend,09/24/2017
48,Weekend,09/24/2017
49,Weekend,09/24/2017
50,Weekend,09/24/2017
51,Weekend,09/24/2017
52,Weekend,09/24/2017
53,Weekend,09/24/2017
54,Weekend,09/24/2017
55,Weekend,09/24/2017
56,Weekend,09/24/2017
59,Weekend,09/24/2017
60,Weekend,09/24/2017
61,Weekend,09/24/2017
62,Weekend,09/24/2017
63,Weekend,09/24/2017
64,Weekend,09/24/2017
65,Weekend,09/24/2017
66,Weekend,09/24/2017
74,Weekend,09/24/2017
75,Weekend,09/24/2017
83,Weekend,09/24/2017
84,Weekend,09/24/2017
86,Weekend,09/24/2017
87,Weekend,09/24/2017
89,Weekend,09/24/2017
90,Weekend,09/24/2017
93,Weekend,09/24/2017
98,Weekend,09/24/2017
111,Weekend,09/24/2017
116,Weekend,09/24/2017
119,Weekend,09/24/2017
120,Weekend,09/24/2017
123,Weekend,09/24/2017
124,Weekend,09/24/2017
126,Weekend,09/24/2017
127,Weekend,09/24/2017
128,Weekend,09/24/2017
129,Weekend,09/24/2017
131,Weekend,09/24/2017
132,Weekend,09/24/2017
133,Weekend,09/24/2017
134,Weekend,09/24/2017
135,Weekend,09/24/2017
136,Weekend,09/24/2017
137,Weekend,09/24/2017
138,Weekend,09/24/2017
1,Weekday,09/25/2017
2,Weekday,09/25/2017
3,Weekday,09/25/2017
4,Weekday,09/25/2017
19,Weekday,09/25/2017
20,Weekday,09/25/2017
21,Weekday,09/25/2017
26,Weekday,09/25/2017
29,Weekday,09/25/2017
34,Weekday,09/25/2017
35,Weekday,09/25/2017
36,Weekday,09/25/2017
37,Weekday,09/25/2017
48,Weekday,09/25/2017
49,Weekday,09/25/2017
50,Weekday,09/25/2017
51,Weekday,09/25/2017
52,Weekday,09/25/2017
53,Weekday,09/25/2017
54,Weekday,09/25/2017
55,Weekday,09/25/2017
56,Weekday,09/25/2017
59,Weekday,09/25/2017
60,Weekday,09/25/2017
61,Weekday,09/25/2017
62,Weekday,09/25/2017
63,Weekday,09/25/2017
64,Weekday,09/25/2017
65,Weekday,09/25/2017
66,Weekday,09/25/2017
67,Weekday,09/25/2017
68,Weekday,09/25/2017
69,Weekday,09/25/2017
74,Weekday,09/25/2017
75,Weekday,09/25/2017
83,Weekday,09/25/2017
84,Weekday,09/25/2017
86,Weekday,09/25/2017
87,Weekday,09/25/2017
89,Weekday,09/25/2017
90,Weekday,09/25/2017
93,Weekday,09/25/2017
98,Weekday,09/25/2017
111,Weekday,09/25/2017
112,Weekday,09/25/2017
115,Weekday,09/25/2017
116,Weekday,09/25/2017
119,Weekday,09/25/2017
120,Weekday,09/25/2017
121,Weekday,09/25/2017
122,Weekday,09/25/2017
123,Weekday,09/25/2017
124,Weekday,09/25/2017
126,Weekday,09/25/2017
127,Weekday,09/25/2017
128,Weekday,09/25/2017
129,Weekday,09/25/2017
131,Weekday,09/25/2017
132,Weekday,09/25/2017
133,Weekday,09/25/2017
134,Weekday,09/25/2017
135,Weekday,09/25/2017
136,Weekday,09/25/2017
137,Weekday,09/25/2017
138,Weekday,09/25/2017
1,Weekday,09/26/2017
2,Weekday,09/26/2017
3,Weekday,09/26/2017
4,Weekday,09/26/2017
19,Weekday,09/26/2017
20,Weekday,09/26/2017
21,Weekday,09/26/2017
26,Weekday,09/26/2017
29,Weekday,09/26/2017
34,Weekday,09/26/2017
35,Weekday,09/26/2017
36,Weekday,09/26/2017
37,Weekday,09/26/2017
48,Weekday,09/26/2017
49,Weekday,09/26/2017
50,Weekday,09/26/2017
51,Weekday,09/26/2017
52,Weekday,09/26/2017
53,Weekday,09/26/2017
54,Weekday,09/26/2017
55,Weekday,09/26/2017
56,Weekday,09/26/2017
59,Weekday,09/26/2017
60,Weekday,09/26/2017
61,Weekday,09/26/2017
62,Weekday,09/26/2017
63,Weekday,09/26/2017
64,Weekday,09/26/2017
65,Weekday,09/26/2017
66,Weekday,09/26/2017
67,Weekday,09/26/2017
68,Weekday,09/26/2017
69,Weekday,09/26/2017
74,Weekday,09/26/2017
75,Weekday,09/26/2017
83,Weekday,09/26/2017
84,Weekday,09/26/2017
86,Weekday,09/26/2017
87,Weekday,09/26/2017
89,Weekday,09/26/2017
90,Weekday,09/26/2017
93,Weekday,09/26/2017
94,Weekday,09/26/2017
97,Weekday,09/26/2017
98,Weekday,09/26/2017
111,Weekday,09/26/2017
112,Weekday,09/26/2017
115,Weekday,09/26/2017
116,Weekday,09/26/2017
119,Weekday,09/26/2017
120,Weekday,09/26/2017
121,Weekday,09/26/2017
122,Weekday,09/26/2017
123,Weekday,09/26/2017
