bt_id,analysis_id,street_name,direction,from_intersection,to_intersection
125,1457844,Jarvis,SB,Dundas,Queen
126,1457846,Jarvis,SB,Queen,King
127,1457848,Jarvis,SB,King,Front
128,1457850,Jarvis,NB,Front,King
129,1457852,Jarvis,NB,King,Queen
130,1457854,Jarvis,NB,Queen,Dundas
131,1457856,Parliament,SB,College,Dundas
132,1457858,Parliament,SB,Dundas,Queen
133,1457860,Parliament,SB,Queen,King
134,1457862,Parliament,SB,King,Front
135,1457864,Parliament,NB,Front,King
136,1457866,Parliament,NB,King,Queen
137,1457868,Parliament,NB,Queen,Dundas
138,1457870,Parliament,NB,Dundas,College
139,1457872,Broadview,SB,Queen,Eastern
140,1457874,Broadview,NB,Eastern,Queen
